"","avgHandBatterCareer","avgPlaceBatterCareer","avgHandPitcherCareer","avgPlacePitcherCareer","sampleHandBatterCareer","samplePlaceBatterCareer","sampleHandPitcherCareer","samplePlacePitcherCareer","avgHandBatter2015","avgPlaceBatter2015","avgHandPitcher2015","avgPlacePitcher2015","sampleHandBatter2015","samplePlaceBatter2015","sampleHandPitcher2015","samplePlacePitcher2015","avgHandBatter2014","avgPlaceBatter2014","avgHandPitcher2014","avgPlacePitcher2014","sampleHandBatter2014","samplePlaceBatter2014","sampleHandPitcher2014","samplePlacePitcher2014","hit","atBats","pitcherAvgInMonth","batterAvgInMonth","parkFactor","Date"
"1",0.2315482,0.2293527,0.223910171730515,0.214263565891473,5135,3584,3028,3225,0.2356215,0.2322946,0.213302752293578,0.211970074812968,539,353,436,401,0.18828452,0.21921922,0.202857142857143,0.194130925507901,478,333,350,443,"1",4,0.199421965317919,0.2090517,"1.092","2016-04-03"
"2",0.25,0.260355,0.22164475695506,0.214263565891473,5116,3549,3271,3225,0.2348485,0.223301,0.234299516908213,0.211970074812968,132,103,414,401,0.21978022,0.25,0.206971677559913,0.194130925507901,455,312,459,443,"0",4,0.199421965317919,0.2363481,"1.092","2016-04-03"
"3",0.255079,0.2517986,0.22164475695506,0.214263565891473,2215,1529,3271,3225,0.293666,0.302521,0.234299516908213,0.211970074812968,521,357,414,401,0.26175869,0.25149701,0.206971677559913,0.194130925507901,489,334,459,443,"1",4,0.199421965317919,0.2389791,"1.092","2016-04-03"
"4",0.2152284,0.2111195,0.223910171730515,0.214263565891473,1970,1331,3028,3225,0.1895735,0.1850534,0.213302752293578,0.211970074812968,422,281,436,401,0.23354565,0.23899371,0.202857142857143,0.194130925507901,471,318,350,443,"1",4,0.199421965317919,0.2260128,"1.092","2016-04-03"
"5",0.2453581,0.2389517,0.223910171730515,0.214263565891473,3016,1946,3028,3225,0.247505,0.2564935,0.213302752293578,0.211970074812968,501,308,436,401,0.24168514,0.23529412,0.202857142857143,0.194130925507901,451,289,350,443,"0",4,0.199421965317919,0.2517361,"1.092","2016-04-03"
"6",0.2236287,0.2068966,0.223910171730515,0.214263565891473,474,290,3028,3225,0.2458101,0.2477876,0.213302752293578,0.211970074812968,179,113,436,401,0.24581006,0.24778761,0.202857142857143,0.194130925507901,179,113,350,443,"1",2,0.199421965317919,0.3139535,"1.092","2016-04-03"
"7",0.2344133,0.2418868,0.223910171730515,0.214263565891473,3673,2650,3028,3225,0.2327366,0.2409241,0.213302752293578,0.211970074812968,391,303,436,401,0.20833333,0.20462046,0.202857142857143,0.194130925507901,432,303,350,443,"1",4,0.199421965317919,0.2300469,"1.092","2016-04-03"
"8",0.2261185,0.2248201,0.22164475695506,0.214263565891473,827,556,3271,3225,0.2268519,0.2556391,0.234299516908213,0.211970074812968,216,133,414,401,0.21904762,0.2300885,0.206971677559913,0.194130925507901,315,226,459,443,"0",3,0.199421965317919,0.2068966,"1.092","2016-04-03"
"9",0.2335558,0.2598106,0.22164475695506,0.214263565891473,1049,739,3271,3225,0.2432432,0.2533937,0.234299516908213,0.211970074812968,333,221,414,401,0.24301676,0.25877193,0.206971677559913,0.194130925507901,358,228,459,443,"1",3,0.199421965317919,0.2676768,"1.092","2016-04-03"
"10",0.2431373,0.2475884,0.218199608610568,0.219463753723932,3315,2177,1022,1007,0.2360515,0.248366,0.206349206349206,0.210862619808307,466,306,378,313,0.25591398,0.27364865,NA,NA,465,296,NA,NA,"1",4,0.202099737532808,0.2421991,"1.092","2016-04-03"
"11",0.2296334,0.2275215,0.206542056074766,0.219463753723932,1964,1279,1070,1007,0.2558747,0.25,0.206896551724138,0.210862619808307,383,284,377,313,0.20408163,0.16736402,NA,NA,392,239,NA,NA,"0",4,0.202099737532808,0.2321041,"1.092","2016-04-03"
"12",0.2568047,0.2757417,0.218199608610568,0.219463753723932,1690,1146,1022,1007,0.2661692,0.3114187,0.206349206349206,0.210862619808307,402,289,378,313,0.27855153,0.28510638,NA,NA,359,235,NA,NA,"1",2,0.202099737532808,0.2567164,"1.092","2016-04-03"
